protein_accession	db_source	name	stringid	sym	geneid	fam
P46098	SWISS-PROT	Serotonin 3a (5-HT3a) receptor	ENSP00000347754	HTR3A	3359	IC
P46108	SWISS-PROT	Proto-oncogene C-crk	ENSP00000300574	CRK	1398	None
P46439	SWISS-PROT	Glutathione S-transferase Mu 5	ENSP00000256593	GSTM5	2949	Enzyme
P46663	SWISS-PROT	Bradykinin B1 receptor	ENSP00000216629	BDKRB1	623	GPCR
P46734	SWISS-PROT	Dual specificity mitogen-activated protein kinase kinase 3	ENSP00000345083	MAP2K3	5606	Kinase
P47211	SWISS-PROT	Galanin receptor 1	ENSP00000299727	GALR1	2587	GPCR
P47712	SWISS-PROT	Cytosolic phospholipase A2	ENSP00000356436	PLA2G4A	5321	Enzyme
P47775	SWISS-PROT	G-protein coupled receptor 12	ENSP00000370844	GPR12	2835	GPCR
P47869	SWISS-PROT	GABA receptor alpha-2 subunit	ENSP00000348897	GABRA2	2555	IC
P47870	SWISS-PROT	GABA receptor beta-2 subunit	ENSP00000274547	GABRB2	2561	IC
P47871	SWISS-PROT	Glucagon receptor	ENSP00000383558	GCGR	2642	GPCR
P47872	SWISS-PROT	Secretin receptor	ENSP00000019103	SCTR	6344	GPCR
P47895	SWISS-PROT	Aldehyde dehydrogenase 1A3	ENSP00000332256	ALDH1A3	220	Enzyme
P47897	SWISS-PROT	Glutaminyl-tRNA synthetase	ENSP00000307567	QARS	5859	Enzyme
P47898	SWISS-PROT	Serotonin 5a (5-HT5a) receptor	ENSP00000287907	HTR5A	3361	GPCR
P47900	SWISS-PROT	Purinergic receptor P2Y1	ENSP00000304767	P2RY1	5028	GPCR
P47901	SWISS-PROT	Vasopressin V1b receptor	ENSP00000356094	AVPR1B	553	GPCR
P47929	SWISS-PROT	Galectin-7	ENSP00000367891	LGALS7B	653499	None
P47989	SWISS-PROT	Xanthine dehydrogenase	ENSP00000368727	XDH	7498	Enzyme
P48023	SWISS-PROT	Tumor necrosis factor ligand superfamily member 6	ENSP00000356694	FASLG	356	None
P48039	SWISS-PROT	Melatonin receptor 1A	ENSP00000302811	MTNR1A	4543	GPCR
P48052	SWISS-PROT	Carboxypeptidase A2	ENSP00000222481	CPA2	1358	Enzyme
P48058	SWISS-PROT	Glutamate receptor ionotropic, AMPA 4	ENSP00000282499	GRIA4	2893	IC
P48065	SWISS-PROT	Betaine transporter	ENSP00000352702	SLC6A12	6539	Transporter
P48066	SWISS-PROT	GABA transporter 3	ENSP00000254488	SLC6A11	6538	Transporter
P48067	SWISS-PROT	Glycine transporter 1	ENSP00000353791	SLC6A9	6536	Transporter
P48147	SWISS-PROT	Prolyl endopeptidase	ENSP00000358106	PREP	5550	Enzyme
P48163	SWISS-PROT	NADP-dependent malic enzyme	ENSP00000358719	ME1	4199	None
P48169	SWISS-PROT	GABA receptor alpha-4 subunit	ENSP00000264318	GABRA4	2557	IC
P48357	SWISS-PROT	Leptin receptor	ENSP00000330393	LEPR	3953	None
P48443	SWISS-PROT	Retinoid X receptor gamma	ENSP00000352900	RXRG	6258	NR
P48448	SWISS-PROT	Aldehyde dehydrogenase 3B2	ENSP00000255084	ALDH3B2	222	Enzyme
P48449	SWISS-PROT	Lanosterol synthase	ENSP00000348762	LSS	4047	Enzyme
P48454	SWISS-PROT	Serine/threonine protein phosphatase 2B catalytic subunit, gamma isoform	ENSP00000240139	PPP3CC	5533	Enzyme
P48506	SWISS-PROT	Gamma-glutamylcysteine synthetase	ENSP00000229416	GCLC	2729	Enzyme
P48546	SWISS-PROT	Gastric inhibitory polypeptide receptor	ENSP00000467494	GIPR	2696	GPCR
P48547	SWISS-PROT	Voltage-gated potassium channel subunit Kv3.1	ENSP00000265969	KCNC1	3746	IC
P48551	SWISS-PROT	Interferon-alpha/beta receptor beta chain	ENSP00000343957	IFNAR2	3455	None
P48664	SWISS-PROT	Excitatory amino acid transporter 4	ENSP00000221742	SLC1A6	6511	Transporter
P48729	SWISS-PROT	Casein kinase I alpha	ENSP00000421689	CSNK1A1	1452	Kinase
P48730	SWISS-PROT	Casein kinase I delta	ENSP00000324464	CSNK1D	1453	Kinase
P48736	SWISS-PROT	PI3-kinase p110-gamma subunit	ENSP00000352121	PIK3CG	5294	Kinase
P48764	SWISS-PROT	Sodium/hydrogen exchanger 3	ENSP00000264938	SLC9A3	6550	Transporter
P48775	SWISS-PROT	Tryptophan 2,3-dioxygenase	ENSP00000444788	TDO2	6999	Enzyme
P49005	SWISS-PROT	DNA polymerase delta subunit 2	ENSP00000386105	POLD2	5425	Enzyme
P49019	SWISS-PROT	HM74 nicotinic acid GPCR	ENSP00000436714	HCAR3	8843	GPCR
P49023	SWISS-PROT	Paxillin	ENSP00000228307	PXN	5829	None
P49116	SWISS-PROT	Nuclear receptor subfamily 2 group C member 2	ENSP00000320447	NR2C2	7182	NR
P49137	SWISS-PROT	MAP kinase-activated protein kinase 2	ENSP00000356070	MAPKAPK2	9261	Kinase
P49146	SWISS-PROT	Neuropeptide Y receptor type 2	ENSP00000332591	NPY2R	4887	GPCR
P49189	SWISS-PROT	Aldehyde dehydrogenase 9A1	ENSP00000346827	ALDH9A1	223	Enzyme
P49221	SWISS-PROT	Protein-glutamine glutamyltransferase 4	ENSP00000296125	TGM4	7047	Enzyme
P49238	SWISS-PROT	C-X3-C chemokine receptor 1	ENSP00000351059	CX3CR1	1524	GPCR
P49286	SWISS-PROT	Melatonin receptor 1B	ENSP00000257068	MTNR1B	4544	GPCR
P49327	SWISS-PROT	Fatty acid synthase	ENSP00000304592	FASN	2194	Enzyme
P49336	SWISS-PROT	Cell division protein kinase 8	ENSP00000370938	CDK8	1024	Kinase
P49354	SWISS-PROT	Protein farnesyltransferase/geranylgeranyltransferase type I alpha subunit	ENSP00000303423	FNTA	2339	Enzyme
P49356	SWISS-PROT	Protein farnesyltransferase beta subunit	ENSP00000246166	FNTB	2342	Enzyme
P49366	SWISS-PROT	Deoxyhypusine synthase	ENSP00000210060	DHPS	1725	Enzyme
P49588	SWISS-PROT	Alanyl-tRNA synthetase	ENSP00000261772	AARS	16	Enzyme
P49619	SWISS-PROT	Diacylglycerol kinase gamma	ENSP00000265022	DGKG	1608	Enzyme
P49639	SWISS-PROT	Homeobox protein Hox-A1	ENSP00000343246	HOXA1	3198	TF
P49641	SWISS-PROT	Alpha-mannosidase 2A2	ENSP00000353655	MAN2A2	4122	Enzyme
P49662	SWISS-PROT	Caspase-4	ENSP00000388566	CASP4	837	Enzyme
P49674	SWISS-PROT	Casein kinase I epsilon	ENSP00000352929	CSNK1E	1454	Kinase
P49682	SWISS-PROT	C-X-C chemokine receptor type 3	ENSP00000362795	CXCR3	2833	GPCR
P49721	SWISS-PROT	Proteasome Macropain subunit	ENSP00000362334	PSMB2	5690	Enzyme
P49759	SWISS-PROT	Dual specificty protein kinase CLK1	ENSP00000394734	CLK1	1195	Kinase
P49760	SWISS-PROT	Dual specificity protein kinase CLK2	ENSP00000354856	CLK2	1196	Kinase
P49761	SWISS-PROT	Dual specificity protein kinase CLK3	ENSP00000378505	CLK3	1198	Kinase
P49768	SWISS-PROT	Presenilin 1	ENSP00000326366	PSEN1	5663	Enzyme
P49773	SWISS-PROT	Histidine triad nucleotide-binding protein 1	ENSP00000304229	HINT1	3094	None
P49810	SWISS-PROT	Presenilin 2	ENSP00000355747	PSEN2	5664	Enzyme
P49840	SWISS-PROT	Glycogen synthase kinase-3 alpha	ENSP00000222330	GSK3A	2931	Kinase
P49841	SWISS-PROT	Glycogen synthase kinase-3 beta	ENSP00000324806	GSK3B	2932	Kinase
P49862	SWISS-PROT	Kallikrein 7	ENSP00000375683	KLK7	5650	Enzyme
P49863	SWISS-PROT	Granzyme K	ENSP00000231009	GZMK	3003	Enzyme
P49888	SWISS-PROT	Estrogen sulfotransferase	ENSP00000226444	SULT1E1	6783	Enzyme
P49895	SWISS-PROT	Type I iodothyronine deiodinase (Type-I 5&apos;deiodinase) (DIOI) (Type 1 DI) (5DI) 	ENSP00000354643	DIO1	1733	Enzyme
P49915	SWISS-PROT	GMP synthase [glutamine-hydrolyzing]	ENSP00000419851	GMPS	8833	Enzyme
P49961	SWISS-PROT	Ectonucleoside triphosphate diphosphohydrolase 1	ENSP00000360250	ENTPD1	953	Enzyme
P50052	SWISS-PROT	Angiotensin II type 2 (AT-2) receptor	ENSP00000360973	AGTR2	186	GPCR
P50120	SWISS-PROT	Cellular retinol-binding protein II	ENSP00000232217	RBP2	5948	None
P50135	SWISS-PROT	Histamine N-methyltransferase	ENSP00000280097	HNMT	3176	Enzyme
P50281	SWISS-PROT	Matrix metalloproteinase 14	ENSP00000308208	MMP14	4323	Enzyme
P50391	SWISS-PROT	Neuropeptide Y receptor type 4	ENSP00000363431	NPY4R	5540	GPCR
P50406	SWISS-PROT	Serotonin 6 (5-HT6) receptor	ENSP00000289753	HTR6	3362	GPCR
P50454	SWISS-PROT	Collagen-binding protein 1	ENSP00000350894	SERPINH1	871	None
P50570	SWISS-PROT	Dynamin-2	ENSP00000347890	DNM2	1785	None
P50579	SWISS-PROT	Methionine aminopeptidase 2	ENSP00000325312	METAP2	10988	Enzyme
P50591	SWISS-PROT	Tumor necrosis factor ligand superfamily member 10	ENSP00000241261	TNFSF10	8743	None
P50613	SWISS-PROT	Cyclin-dependent kinase 7	ENSP00000256443	CDK7	1022	Kinase
P50750	SWISS-PROT	Cyclin-dependent kinase 9	ENSP00000362361	CDK9	1025	Kinase
P50993	SWISS-PROT	Sodium/potassium-transporting ATPase alpha-2 chain	ENSP00000354490	ATP1A2	477	Transporter
P51160	SWISS-PROT	Phosphodiesterase 6C	ENSP00000360502	PDE6C	5146	Enzyme
P51164	SWISS-PROT	Potassium-transporting ATPase beta chain	ENSP00000334216	ATP4B	496	Transporter
P51178	SWISS-PROT	Phospholipase C-delta-1	ENSP00000430344	PLCD1	5333	Enzyme
P51451	SWISS-PROT	Tyrosine-protein kinase BLK	ENSP00000259089	BLK	640	Kinase
P51452	SWISS-PROT	Dual specificity protein phosphatase 3	ENSP00000226004	DUSP3	1845	Enzyme
P51511	SWISS-PROT	Matrix metalloproteinase 15	ENSP00000219271	MMP15	4324	Enzyme
P51512	SWISS-PROT	Matrix metalloproteinase 16	ENSP00000286614	MMP16	4325	Enzyme
P51575	SWISS-PROT	P2X purinoceptor 1	ENSP00000225538	P2RX1	5023	IC
P51580	SWISS-PROT	Thiopurine S-methyltransferase	ENSP00000312304	TPMT	7172	Enzyme
P51582	SWISS-PROT	Pyrimidinergic receptor P2Y4	ENSP00000363643	P2RY4	5030	GPCR
P51589	SWISS-PROT	Cytochrome P450 2J2	ENSP00000360247	CYP2J2	1573	None
P51617	SWISS-PROT	Interleukin-1 receptor-associated kinase 1 	ENSP00000358997	IRAK1	3654	Kinase
P51649	SWISS-PROT	Succinate semialdehyde dehydrogenase	ENSP00000314649	ALDH5A1	7915	Enzyme
P51659	SWISS-PROT	Peroxisomal multifunctional enzyme type 2	ENSP00000420914	HSD17B4	3295	None
P51677	SWISS-PROT	C-C chemokine receptor type 3	ENSP00000441600	CCR3	1232	GPCR
P51679	SWISS-PROT	C-C chemokine receptor type 4	ENSP00000332659	CCR4	1233	GPCR
P51681	SWISS-PROT	C-C chemokine receptor type 5	ENSP00000292303	CCR5	1234	GPCR
P51684	SWISS-PROT	C-C chemokine receptor type 6	ENSP00000339393	CCR6	1235	GPCR
P51685	SWISS-PROT	C-C chemokine receptor type 8	ENSP00000326432	CCR8	1237	GPCR
P51686	SWISS-PROT	C-C chemokine receptor type 9	ENSP00000350256	CCR9	10803	GPCR
P51692	SWISS-PROT	Signal transducer and activator of transcription 5B	ENSP00000293328	STAT5B	6777	TF
P51787	SWISS-PROT	Voltage-gated potassium channel subunit Kv7.1	ENSP00000155840	KCNQ1	3784	IC
P51812	SWISS-PROT	Ribosomal protein S6 kinase alpha 3	ENSP00000368884	RPS6KA3	6197	Kinase
P51813	SWISS-PROT	Tyrosine-protein kinase BMX	ENSP00000308774	BMX	660	Kinase
P51817	SWISS-PROT	Serine/threonine-protein kinase PRKX	ENSP00000262848	PRKX	5613	Kinase
P51828	SWISS-PROT	Adenylate cyclase type VII	ENSP00000254235	ADCY7	113	Enzyme
P51878	SWISS-PROT	Caspase-5	ENSP00000376849	CASP5	838	Enzyme
P51946	SWISS-PROT	Cyclin H	ENSP00000256897	CCNH	902	None
P51948	SWISS-PROT	CDK-activating kinase assembly factor MAT1	ENSP00000261245	MNAT1	4331	Enzyme
P51955	SWISS-PROT	Serine/threonine-protein kinase NEK2	ENSP00000355966	NEK2	4751	Kinase
P51956	SWISS-PROT	Serine/threonine-protein kinase Nek3	ENSP00000383210	NEK3	4752	Kinase
P51957	SWISS-PROT	Serine/threonine-protein kinase Nek4	ENSP00000233027	NEK4	6787	Kinase
P51970	SWISS-PROT	NADH-ubiquinone oxidoreductase 19 kDa subunit	ENSP00000362873	NDUFA8	4702	Enzyme
P51993	SWISS-PROT	Fucosyltransferase 6	ENSP00000286955	FUT6	2528	Enzyme
P52209	SWISS-PROT	6-phosphogluconate dehydrogenase	ENSP00000270776	PGD	5226	Enzyme
P52333	SWISS-PROT	Tyrosine-protein kinase JAK3	ENSP00000391676	JAK3	3718	Kinase
P52429	SWISS-PROT	Diacylglycerol kinase epsilon	ENSP00000284061	DGKE	8526	Enzyme
P52564	SWISS-PROT	Dual specificity mitogen-activated protein kinase kinase 6	ENSP00000468348	MAP2K6	5608	Kinase
P52655	SWISS-PROT	Transcription initiation factor IIA alpha and bTranscription initiation factor IIA alpha and beta chains	ENSP00000452454	GTF2A1	2957	None
P52657	SWISS-PROT	Transcription initiation factor IIA gamma chain	ENSP00000379372	GTF2A2	2958	None
P52732	SWISS-PROT	Kinesin-like protein 1	ENSP00000260731	KIF11	3832	None
P52757	SWISS-PROT	Rho-GTPase-activating protein 3	ENSP00000222792	CHN2	1124	None
P52788	SWISS-PROT	Spermine synthase	ENSP00000385746	SMS	6611	Enzyme
P52789	SWISS-PROT	Hexokinase type II 	ENSP00000290573	HK2	3099	Kinase
P52790	SWISS-PROT	Hexokinase type III	ENSP00000292432	HK3	3101	Kinase
P52895	SWISS-PROT	Aldo-keto reductase family 1 member C2	ENSP00000370129	AKR1C2	1646	Enzyme
P52961	SWISS-PROT	ADP-ribosyltransferase	ENSP00000250693	ART1	417	Enzyme
P53350	SWISS-PROT	Serine/threonine-protein kinase PLK1	ENSP00000300093	PLK1	5347	Kinase
P53355	SWISS-PROT	Death-associated protein kinase 1	ENSP00000350785	DAPK1	1612	Kinase
P53396	SWISS-PROT	ATP-citrate synthase	ENSP00000253792	ACLY	47	Enzyme
P53582	SWISS-PROT	Methionine aminopeptidase 1	ENSP00000296411	METAP1	23173	Enzyme
P53602	SWISS-PROT	Mevalonate pyrophosphate decarboxylase	ENSP00000301012	MVD	4597	Enzyme
P53609	SWISS-PROT	Geranylgeranyl transferase type I beta subunit	ENSP00000404676	PGGT1B	5229	Enzyme
P53611	SWISS-PROT	Geranylgeranyl transferase type II beta subunit	ENSP00000317473	RABGGTB	5876	Enzyme
P53634	SWISS-PROT	Dipeptidyl peptidase I	ENSP00000227266	CTSC	1075	Enzyme
P53667	SWISS-PROT	LIM domain kinase 1	ENSP00000336740	LIMK1	3984	Kinase
P53671	SWISS-PROT	LIM domain kinase 2	ENSP00000339916	LIMK2	3985	Kinase
P53778	SWISS-PROT	MAP kinase p38 gamma	ENSP00000215659	MAPK12	6300	Kinase
P53779	SWISS-PROT	c-Jun N-terminal kinase 3	ENSP00000352157	MAPK10	5602	Kinase
P53985	SWISS-PROT	Monocarboxylate transporter 1	ENSP00000358640	SLC16A1	6566	Transporter
P54098	SWISS-PROT	DNA polymerase gamma subunit 1	ENSP00000268124	POLG	5428	Enzyme
P54136	SWISS-PROT	Arginyl-tRNA synthetase	ENSP00000231572	RARS	5917	Enzyme
P54219	SWISS-PROT	Vesicular amine transporter 1	ENSP00000276373	SLC18A1	6570	Transporter
P54289	SWISS-PROT	Voltage-gated calcium channel alpha2/delta subunit 1	ENSP00000349320	CACNA2D1	781	IC
P54577	SWISS-PROT	Tyrosyl-tRNA synthetase	ENSP00000362576	YARS	8565	Enzyme
P54619	SWISS-PROT	AMP-activated protein kinase, gamma-1 subunit	ENSP00000323867	PRKAG1	5571	Kinase
P54646	SWISS-PROT	AMP-activated protein kinase, alpha-2 subunit	ENSP00000360290	PRKAA2	5563	Kinase
P54687	SWISS-PROT	Branched-chain-amino-acid transferase	ENSP00000443459	BCAT1	586	Enzyme
P54707	SWISS-PROT	Potassium-transporting ATPase alpha chain 2	ENSP00000218548	ATP12A	479	Transporter
P54709	SWISS-PROT	Sodium/potassium-transporting ATPase beta-3 chain	ENSP00000286371	ATP1B3	483	Transporter
P54710	SWISS-PROT	Sodium/potassium-transporting ATPase gamma chain	ENSP00000292079	FXYD2	486	Enzyme
P54750	SWISS-PROT	Phosphodiesterase 1A	ENSP00000331574	PDE1A	5136	Enzyme
P54753	SWISS-PROT	Ephrin type-B receptor 3	ENSP00000332118	EPHB3	2049	Kinase
P54756	SWISS-PROT	Ephrin type-A receptor 5	ENSP00000273854	EPHA5	2044	Kinase
P54760	SWISS-PROT	Ephrin type-B receptor 4	ENSP00000350896	EPHB4	2050	Kinase
P54762	SWISS-PROT	Ephrin type-B receptor 1	ENSP00000381097	EPHB1	2047	Kinase
P54764	SWISS-PROT	Ephrin type-A receptor 4	ENSP00000281821	EPHA4	2043	Kinase
P54819	SWISS-PROT	Adenylate kinase 2	ENSP00000346921	AK2	204	Kinase
P54855	SWISS-PROT	UDP-glucuronosyltransferase 2B15	ENSP00000341045	UGT2B15	7366	Enzyme
P55017	SWISS-PROT	Thiazide-sensitive sodium-chloride cotransporter	ENSP00000402152	SLC12A3	6559	Transporter
P55055	SWISS-PROT	LXR-beta	ENSP00000253727	NR1H2	7376	NR
P55058	SWISS-PROT	Phospholipid transfer protein	ENSP00000361508	PLTP	5360	None
P55072	SWISS-PROT	Transitional endoplasmic reticulum ATPase	ENSP00000351777	VCP	7415	Enzyme
P55073	SWISS-PROT	Type III iodothyronine deiodinase	ENSP00000427336	DIO3	1735	Enzyme
P55085	SWISS-PROT	Proteinase-activated receptor 2	ENSP00000296677	F2RL1	2150	GPCR
P55087	SWISS-PROT	Aquaporin-4	ENSP00000372654	AQP4	361	None
P55157	SWISS-PROT	Microsomal triglyceride transfer protein large subunit	ENSP00000265517	MTTP	4547	None
P55210	SWISS-PROT	Caspase-7	ENSP00000358327	CASP7	840	Enzyme
P55211	SWISS-PROT	Caspase-9	ENSP00000330237	CASP9	842	Enzyme
P55212	SWISS-PROT	Caspase-6	ENSP00000265164	CASP6	839	Enzyme
P55263	SWISS-PROT	Adenosine kinase	ENSP00000286621	ADK	132	Kinase
P55786	SWISS-PROT	Puromycin-sensitive aminopeptidase	ENSP00000320324	NPEPPS	9520	Enzyme
P55899	SWISS-PROT	IgG receptor FcRn large subunit p51	ENSP00000221466	FCGRT	2217	None
P56192	SWISS-PROT	Methionyl-tRNA synthetase 	ENSP00000262027	MARS	4141	Enzyme
P56199	SWISS-PROT	Integrin alpha-1	ENSP00000282588	ITGA1	3672	None
P56373	SWISS-PROT	P2X purinoceptor 3	ENSP00000263314	P2RX3	5024	IC
P56524	SWISS-PROT	Histone deacetylase 4	ENSP00000264606	HDAC4	9759	Epigenetic
P56556	SWISS-PROT	NADH-ubiquinone oxidoreductase B14 subunit	ENSP00000418842	NDUFA6	4700	Enzyme
P56597	SWISS-PROT	Nucleoside diphosphate kinase 5	ENSP00000265191	NME5	8382	Kinase
P56696	SWISS-PROT	Voltage-gated potassium channel subunit Kv7.4	ENSP00000262916	KCNQ4	9132	IC
P56703	SWISS-PROT	Proto-oncogene protein Wnt-3	ENSP00000225512	WNT3	7473	None
P56817	SWISS-PROT	Beta-secretase 1	ENSP00000318585	BACE1	23621	Enzyme
P56937	SWISS-PROT	3-keto-steroid reductase	ENSP00000254521	HSD17B7	51478	Enzyme
P56945	SWISS-PROT	Anti-estrogen resistance 1 protein	ENSP00000391669	BCAR1	9564	None
P57059	SWISS-PROT	Serine/threonine-protein kinase SIK1	ENSP00000270162	SIK1	150094	Kinase
P57078	SWISS-PROT	Receptor-interacting serine/threonine-protein kinase 4	ENSP00000332454	RIPK4	54101	Kinase
P60033	SWISS-PROT	CD81 antigen	ENSP00000263645	CD81	975	None
P60174	SWISS-PROT	Triosephosphate isomerase	ENSP00000229270	TPI1	7167	Enzyme
P60568	SWISS-PROT	Interleukin-2	ENSP00000226730	IL2	3558	None
P60763	SWISS-PROT	Ras-related C3 botulinum toxin substrate 3	ENSP00000304283	RAC3	5881	Enzyme
P60891	SWISS-PROT	Ribose-phosphate pyrophosphokinase I	ENSP00000361512	PRPS1	5631	Kinase
P60953	SWISS-PROT	Cell division control protein 42 homolog	ENSP00000314458	CDC42	998	Enzyme
P61073	SWISS-PROT	C-X-C chemokine receptor type 4	ENSP00000386884	CXCR4	7852	GPCR
P61088	SWISS-PROT	Ubiquitin-conjugating enzyme E2 N	ENSP00000316176	UBE2N	7334	None
P61160	SWISS-PROT	Actin-related protein 2	ENSP00000367220	ACTR2	10097	None
P61586	SWISS-PROT	Transforming protein RhoA	ENSP00000400175	RHOA	387	Enzyme
P61964	SWISS-PROT	WD repeat-containing protein 5	ENSP00000351446	WDR5	11091	None
P61978	SWISS-PROT	Heterogeneous nuclear ribonucleoprotein K	ENSP00000365439	HNRNPK	3190	None
P62136	SWISS-PROT	Serine/threonine protein phosphatase PP1-alpha catalytic subunit	ENSP00000326031	PPP1CA	5499	Enzyme
P62140	SWISS-PROT	Serine/threonine-protein phosphatase PP1-beta catalytic subunit	ENSP00000296122	PPP1CB	5500	Enzyme
P62158	SWISS-PROT	Calmodulin	ENSP00000349467	CALM3	808	None
P62330	SWISS-PROT	ADP-ribosylation factor 6	ENSP00000298316	ARF6	382	Enzyme
P62508	SWISS-PROT	Estrogen-related receptor gamma	ENSP00000386171	ESRRG	2104	NR
P62714	SWISS-PROT	Serine/threonine protein phosphatase 2A, catalytic subunit, beta isoform	ENSP00000221138	PPP2CB	5516	Enzyme
P62805	SWISS-PROT	Histone H4	ENSP00000367034	HIST2H4A	8370	None
P62937	SWISS-PROT	Cyclophilin A	ENSP00000419425	PPIA	5478	Enzyme
P62942	SWISS-PROT	FK506-binding protein 1A	ENSP00000371138	FKBP1A	2280	Enzyme
P62993	SWISS-PROT	Growth factor receptor-bound protein 2	ENSP00000339007	GRB2	2885	None
P63000	SWISS-PROT	Ras-related C3 botulinum toxin substrate 1	ENSP00000348461	RAC1	5879	Enzyme
P63092	SWISS-PROT	Guanine nucleotide-binding protein G(s), subunit alpha	ENSP00000360141	GNAS	2778	None
P63096	SWISS-PROT	Guanine nucleotide-binding protein G(i), alpha-1 subunit	ENSP00000343027	GNAI1	2770	None
P63098	SWISS-PROT	Calcineurin B alpha	ENSP00000234310	PPP3R1	5534	None
P63151	SWISS-PROT	Serine/threonine protein phosphatase 2A, 55 kDa regulatory subunit B, alpha isoform	ENSP00000325074	PPP2R2A	5520	Enzyme
P63316	SWISS-PROT	Troponin C	ENSP00000232975	TNNC1	7134	None
P67775	SWISS-PROT	Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform	ENSP00000418447	PPP2CA	5515	Enzyme
P67870	SWISS-PROT	Casein kinase II beta 	ENSP00000365025	CSNK2B	1460	Kinase
P68106	SWISS-PROT	FK506-binding protein 1B	ENSP00000370373	FKBP1B	2281	Enzyme
P68366	SWISS-PROT	Tubulin alpha-1 chain	ENSP00000248437	TUBA4A	7277	None
P68371	SWISS-PROT	Tubulin beta-2 chain	ENSP00000341289	TUBB4B	10383	None
P68400	SWISS-PROT	Casein kinase II alpha	ENSP00000217244	CSNK2A1	1457	Kinase
P68402	SWISS-PROT	Platelet-activating factor acetylhydrolase IB beta subunit	ENSP00000435289	PAFAH1B2	5049	Enzyme
P68871	SWISS-PROT	Hemoglobin beta chain 	ENSP00000333994	HBB	3043	None
P69905	SWISS-PROT	Hemoglobin alpha subunit	ENSP00000322421	HBA2	3040	None
P78325	SWISS-PROT	Disintegrin and metalloproteinase domain-containing protein 8	ENSP00000453302	ADAM8	101	Enzyme
P78329	SWISS-PROT	Cytochrome P450 4F2	ENSP00000221700	CYP4F2	8529	Enzyme
P78334	SWISS-PROT	GABA receptor epsilon subunit	ENSP00000359353	GABRE	2564	IC
P78352	SWISS-PROT	Disks large homolog 4	ENSP00000293813	DLG4	1742	None
P78356	SWISS-PROT	Phosphatidylinositol-5-phosphate 4-kinase type-2 beta	ENSP00000269554	PIP4K2B	8396	Kinase
P78362	SWISS-PROT	Serine/threonine-protein kinase SRPK2	ENSP00000377262	SRPK2	6733	Kinase
P78368	SWISS-PROT	Casein kinase I gamma 2	ENSP00000255641	CSNK1G2	1455	Kinase
P78396	SWISS-PROT	Cyclin A1	ENSP00000255465	CCNA1	8900	None
P78417	SWISS-PROT	Glutathione transferase omega 1	ENSP00000358727	GSTO1	9446	Enzyme
P78527	SWISS-PROT	DNA-dependent protein kinase	ENSP00000313420	PRKDC	5591	Kinase
P78536	SWISS-PROT	ADAM17	ENSP00000309968	ADAM17	6868	Enzyme
P78545	SWISS-PROT	ETS-related transcription factor Elf-3	ENSP00000352673	ELF3	1999	TF
P79483	SWISS-PROT	HLA class II histocompatibility antigen DRB3-1	None	HLA-DRB3	3125	None
P80192	SWISS-PROT	Mitogen-activated protein kinase kinase kinase 9	ENSP00000451263	MAP3K9	4293	Kinase
P80365	SWISS-PROT	11-beta-hydroxysteroid dehydrogenase 2	ENSP00000316786	HSD11B2	3291	Enzyme
P80370	SWISS-PROT	Protein delta homolog 1	ENSP00000340292	DLK1	8788	None
P80404	SWISS-PROT	Gamma-amino-N-butyrate transaminase	ENSP00000268251	ABAT	18	Enzyme
P82980	SWISS-PROT	Cellular retinol-binding protein III	ENSP00000266560	RBP5	83758	None
P83111	SWISS-PROT	Serine beta-lactamase-like protein	ENSP00000261893	LACTB	114294	Enzyme
P84077	SWISS-PROT	ADP-ribosylation factor 1	ENSP00000272102	ARF1	375	Enzyme
P84085	SWISS-PROT	ADP-ribosylation factor 5	ENSP00000000233	ARF5	381	Enzyme
P98077	SWISS-PROT	Src homology 2 domain containing transforming protein C2	ENSP00000264554	SHC2	25759	None
P98161	SWISS-PROT	Polycystin-1	ENSP00000262304	PKD1	5310	None
P98170	SWISS-PROT	Inhibitor of apoptosis protein 3	ENSP00000347858	XIAP	331	Enzyme
P98174	SWISS-PROT	Rho/Rac guanine nucleotide exchange factor	ENSP00000364277	FGD1	2245	None
Q00526	SWISS-PROT	Cyclin-dependent kinase 3	ENSP00000400088	CDK3	1018	Kinase
Q00532	SWISS-PROT	Cyclin-dependent kinase-like 1	ENSP00000379176	CDKL1	8814	Kinase
Q00534	SWISS-PROT	Cyclin-dependent kinase 6	ENSP00000265734	CDK6	1021	Kinase
Q00535	SWISS-PROT	Cyclin-dependent kinase 5	ENSP00000419782	CDK5	1020	Kinase
Q00536	SWISS-PROT	Serine/threonine-protein kinase PCTAIRE-1	ENSP00000276052	CDK16	5127	Kinase
Q00537	SWISS-PROT	Serine/threonine-protein kinase PCTAIRE-2	ENSP00000261211	CDK17	5128	Kinase
Q00613	SWISS-PROT	Heat shock factor protein 1	ENSP00000431512	HSF1	3297	TF
Q00653	SWISS-PROT	Nuclear factor NF-kappa-B p100/p49 subunits	ENSP00000358983	NFKB2	4791	TF
Q00688	SWISS-PROT	FK506 binding protein 3	ENSP00000216330	FKBP3	2287	Enzyme
Q00722	SWISS-PROT	Phospholipase C-beta-2	ENSP00000260402	PLCB2	5330	Enzyme
Q00796	SWISS-PROT	Sorbitol dehydrogenase	ENSP00000267814	SORD	6652	Enzyme
