protein_accession,db_source,name
P29803,SWISS-PROT,"Pyruvate dehydrogenase E1 component alpha subunit testis form"
P30043,SWISS-PROT,"Flavin reductase"
P30085,SWISS-PROT,"UMP-CMP kinase"
P30279,SWISS-PROT,"G1/S-specific cyclin D2"
P30281,SWISS-PROT,"G1/S-specific cyclin D3"
P30291,SWISS-PROT,"Serine/threonine-protein kinase WEE1"
P30304,SWISS-PROT,"Dual specificity phosphatase Cdc25A"
P30305,SWISS-PROT,"Dual specificity phosphatase Cdc25B"
P30307,SWISS-PROT,"Dual specificity phosphatase Cdc25C"
P30411,SWISS-PROT,"Bradykinin B2 receptor"
P30419,SWISS-PROT,"Peptide N-myristoyltransferase 1"
P30518,SWISS-PROT,"Vasopressin V2 receptor"
P30519,SWISS-PROT,"Heme oxygenase 2"
P30520,SWISS-PROT,"Adenylosuccinate synthetase 2 "
P30530,SWISS-PROT,"Tyrosine-protein kinase receptor UFO"
P30531,SWISS-PROT,"GABA transporter 1"
P30532,SWISS-PROT,"Neuronal acetylcholine receptor protein alpha-5 subunit"
P30536,SWISS-PROT,"Translocator protein"
P30542,SWISS-PROT,"Adenosine A1 receptor"
P30550,SWISS-PROT,"Gastrin releasing peptide receptor"
P30556,SWISS-PROT,"Angiotensin II type 1 receptor"
P30559,SWISS-PROT,"Oxytocin receptor"
P30613,SWISS-PROT,"Pyruvate kinase isozymes R/L"
P30711,SWISS-PROT,"Glutathione S-transferase theta 1"
P30837,SWISS-PROT,"Aldehyde dehydrogenase X"
P30838,SWISS-PROT,"Aldehyde dehydrogenase dimeric NADP-preferring"
P30872,SWISS-PROT,"Somatostatin receptor 1"
P30874,SWISS-PROT,"Somatostatin receptor 2"
P30926,SWISS-PROT,"Neuronal acetylcholine receptor protein beta-4 subunit"
P30939,SWISS-PROT,"Serotonin 1f (5-HT1f) receptor"
P30968,SWISS-PROT,"Gonadotropin-releasing hormone receptor"
P30988,SWISS-PROT,"Calcitonin receptor"
P30989,SWISS-PROT,"Neurotensin receptor 1"
P31040,SWISS-PROT,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"
P31152,SWISS-PROT,"Mitogen-activated protein kinase 4"
P31213,SWISS-PROT,"Steroid 5-alpha-reductase 2"
P31321,SWISS-PROT,"cAMP-dependent protein kinase type I-beta regulatory subunit "
P31323,SWISS-PROT,"cAMP-dependent protein kinase type II-beta regulatory subunit "
P31350,SWISS-PROT,"Ribonucleoside-diphosphate reductase M2 chain"
P31358,SWISS-PROT,"CAMPATH-1 antigen"
P31391,SWISS-PROT,"Somatostatin receptor 4"
P31639,SWISS-PROT,"Sodium/glucose cotransporter 2"
P31641,SWISS-PROT,"Sodium- and chloride-dependent taurine transporter"
P31644,SWISS-PROT,"GABA receptor alpha-5 subunit"
P31645,SWISS-PROT,"Serotonin transporter"
P31749,SWISS-PROT,"Serine/threonine-protein kinase AKT"
P31751,SWISS-PROT,"Serine/threonine-protein kinase AKT2"
P31785,SWISS-PROT,"Interleukin-2 receptor gamma chain"
P31939,SWISS-PROT,"AICAR transformylase"
P31944,SWISS-PROT,"Caspase-14"
P32019,SWISS-PROT,"Inositol 1,4,5-trisphosphate 5-phosphatase"
P32189,SWISS-PROT,"Glycerol kinase"
P32238,SWISS-PROT,"Cholecystokinin A receptor"
P32239,SWISS-PROT,"Cholecystokinin B receptor"
P32241,SWISS-PROT,"Vasoactive intestinal polypeptide receptor 1"
P32245,SWISS-PROT,"Melanocortin receptor 4"
P32246,SWISS-PROT,"C-C chemokine receptor type 1"
P32247,SWISS-PROT,"Bombesin like receptor 3"
P32248,SWISS-PROT,"C-C chemokine receptor type 7"
P32297,SWISS-PROT,"Neuronal acetylcholine receptor protein alpha-3 subunit"
P32298,SWISS-PROT,"G protein-coupled receptor kinase 4"
P32302,SWISS-PROT,"C-X-C chemokine receptor type 5"
P32320,SWISS-PROT,"Cytidine deaminase"
P32321,SWISS-PROT,"Deoxycytidylate deaminase"
P32418,SWISS-PROT,"Sodium/calcium exchanger 1"
P32745,SWISS-PROT,"Somatostatin receptor 3"
P32754,SWISS-PROT,"4-hydroxyphenylpyruvate dioxygenase"
P32927,SWISS-PROT,"Cytokine receptor common beta chain [Precursor]"
P33032,SWISS-PROT,"Melanocortin receptor 5"
P33176,SWISS-PROT,"Kinesin-1 heavy chain"
P33260,SWISS-PROT,"Cytochrome P450 2C18"
P33261,SWISS-PROT,"Cytochrome P450 2C19"
P33316,SWISS-PROT,"dUTP pyrophosphatase"
P33402,SWISS-PROT,"Guanylate cyclase soluble alpha-2 chain"
P33527,SWISS-PROT,"Multidrug resistance-associated protein 1"
P33765,SWISS-PROT,"Adenosine A3 receptor"
P33908,SWISS-PROT,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA"
P33981,SWISS-PROT,"Dual specificity protein kinase TTK"
P34903,SWISS-PROT,"GABA receptor alpha-3 subunit"
P34913,SWISS-PROT,"Epoxide hydratase"
P34947,SWISS-PROT,"G protein-coupled receptor kinase 5"
P34949,SWISS-PROT,"Mannose-6-phosphate isomerase"
P34969,SWISS-PROT,"Serotonin 7 (5-HT7) receptor"
P34972,SWISS-PROT,"Cannabinoid CB2 receptor"
P34981,SWISS-PROT,"Thyrotropin-releasing hormone receptor"
P34995,SWISS-PROT,"Prostanoid EP1 receptor"
P34998,SWISS-PROT,"Corticotropin releasing factor receptor 1"
P35030,SWISS-PROT,"Trypsin III"
P35218,SWISS-PROT,"Carbonic anhydrase VA"
P35219,SWISS-PROT,"Carbonic anhydrase-related protein 8"
P35222,SWISS-PROT,"Catenin beta-1"
P35228,SWISS-PROT,"Nitric oxide synthase, inducible"
P35236,SWISS-PROT,"Protein-tyrosine phosphatase LC-PTP"
P35346,SWISS-PROT,"Somatostatin receptor 5"
P35348,SWISS-PROT,"Alpha-1a adrenergic receptor"
P35354,SWISS-PROT,"Cyclooxygenase-2"
P35367,SWISS-PROT,"Histamine H1 receptor"
P35368,SWISS-PROT,"Alpha-1b adrenergic receptor"
P35372,SWISS-PROT,"Mu opioid receptor"
P35398,SWISS-PROT,"Nuclear receptor ROR-alpha"
P35408,SWISS-PROT,"Prostanoid EP4 receptor"
P35462,SWISS-PROT,"Dopamine D3 receptor"
P35498,SWISS-PROT,"Sodium channel protein type I alpha subunit"
P35499,SWISS-PROT,"Sodium channel protein type IV alpha subunit"
P35557,SWISS-PROT,"Hexokinase type IV"
P35558,SWISS-PROT,"Phosphoenolpyruvate carboxykinase cytosolic"
P35573,SWISS-PROT,"Glycogen debranching enzyme"
P35575,SWISS-PROT,"Glucose-6-phosphatase"
P35590,SWISS-PROT,"Tyrosine-protein kinase receptor Tie-1"
P35610,SWISS-PROT,"Acyl coenzyme A:cholesterol acyltransferase 1"
P35626,SWISS-PROT,"Beta-adrenergic receptor kinase 2"
P35790,SWISS-PROT,"Choline kinase alpha "
P35813,SWISS-PROT,"Protein phosphatase 2C alpha"
P35869,SWISS-PROT,"Aryl hydrocarbon receptor"
P35913,SWISS-PROT,"Phosphodiesterase 6B"
P35916,SWISS-PROT,"Vascular endothelial growth factor receptor 3"
P35968,SWISS-PROT,"Vascular endothelial growth factor receptor 2"
P36402,SWISS-PROT,"Transcription factor 7"
P36507,SWISS-PROT,"Dual specificity mitogen-activated protein kinase kinase 2"
P36537,SWISS-PROT,"UDP-glucuronosyltransferase 2B10"
P36544,SWISS-PROT,"Neuronal acetylcholine receptor protein alpha-7 subunit"
P36873,SWISS-PROT,"Serine/threonine protein phosphatase PP1-gamma catalytic subunit"
P36888,SWISS-PROT,"Tyrosine-protein kinase receptor FLT3"
P36894,SWISS-PROT,"Bone morphogenetic protein receptor type-1A"
P36896,SWISS-PROT,"Activin receptor type-1B"
P36897,SWISS-PROT,"TGF-beta receptor type I"
P37023,SWISS-PROT,"Serine/threonine-protein kinase receptor R3"
P37058,SWISS-PROT,"Estradiol 17-beta-dehydrogenase 3"
P37059,SWISS-PROT,"Estradiol 17-beta-dehydrogenase 2"
P37088,SWISS-PROT,"Amiloride-sensitive sodium channel alpha-subunit"
P37173,SWISS-PROT,"TGF-beta receptor type II"
P37231,SWISS-PROT,"Peroxisome proliferator-activated receptor gamma"
P37268,SWISS-PROT,"Squalene synthetase"
P37288,SWISS-PROT,"Vasopressin V1a receptor"
P37840,SWISS-PROT,"Alpha-synuclein"
P38398,SWISS-PROT,"Breast cancer type 1 susceptibility protein"
P38435,SWISS-PROT,"Vitamin K-dependent gamma-carboxylase"
P38484,SWISS-PROT,"Interferon-gamma receptor beta chain"
P38571,SWISS-PROT,"Lysosomal acid lipase/cholesteryl ester hydrolase "
P38936,SWISS-PROT,"CDK-interacting protein 1"
P39086,SWISS-PROT,"Glutamate receptor ionotropic kainate 1"
P39656,SWISS-PROT,"Oligosaccharyl transferase 48 kDa subunit"
P39748,SWISS-PROT,"Flap endonuclease 1"
P39877,SWISS-PROT,"Phospholipase A2 group V"
P39900,SWISS-PROT,"Matrix metalloproteinase 12"
P40145,SWISS-PROT,"Adenylate cyclase type VIII"
P40238,SWISS-PROT,"Thrombopoietin receptor"
P40313,SWISS-PROT,"Chymotrypsin-like protease CTRL-1"
P40394,SWISS-PROT,"Alcohol dehydrogenase class IV "
P40424,SWISS-PROT,"Homeobox protein PBX-1"
P40763,SWISS-PROT,"Signal transducer and activator of transcription 3"
P40925,SWISS-PROT,"Malate dehydrogenase cytoplasmic "
P40926,SWISS-PROT,"Malate dehydrogenase, mitochondrial"
P41134,SWISS-PROT,"DNA-binding protein inhibitor ID-1"
P41143,SWISS-PROT,"Delta opioid receptor"
P41145,SWISS-PROT,"Kappa opioid receptor"
P41146,SWISS-PROT,"Nociceptin receptor"
P41180,SWISS-PROT,"Calcium sensing receptor"
P41231,SWISS-PROT,"Purinergic receptor P2Y2"
P41235,SWISS-PROT,"Hepatocyte nuclear factor 4-alpha"
P41240,SWISS-PROT,"Tyrosine-protein kinase CSK"
P41252,SWISS-PROT,"Isoleucyl-tRNA synthetase"
P41279,SWISS-PROT,"Mitogen-activated protein kinase kinase kinase 8"
P41439,SWISS-PROT,"Folate receptor gamma"
P41440,SWISS-PROT,"Folate transporter 1"
P41586,SWISS-PROT,"Pituitary adenylate cyclase-activating polypeptide type I receptor"
P41587,SWISS-PROT,"Vasoactive intestinal polypeptide receptor 2"
P41594,SWISS-PROT,"Metabotropic glutamate receptor 5"
P41595,SWISS-PROT,"Serotonin 2b (5-HT2b) receptor"
P41597,SWISS-PROT,"C-C chemokine receptor type 2"
P41743,SWISS-PROT,"Protein kinase C iota"
P41968,SWISS-PROT,"Melanocortin receptor 3"
P42224,SWISS-PROT,"Signal transducer and activator of transcription 1-alpha/beta"
P42226,SWISS-PROT,"Signal transducer and activator of transcription 6"
P42229,SWISS-PROT,"Signal transducer and activator of transcription 5A"
P42261,SWISS-PROT,"Glutamate receptor ionotropic, AMPA 1"
P42262,SWISS-PROT,"Glutamate receptor ionotropic, AMPA 2"
P42263,SWISS-PROT,"Glutamate receptor ionotropic, AMPA 3"
P42330,SWISS-PROT,"Aldo-keto-reductase family 1 member C3"
P42336,SWISS-PROT,"PI3-kinase p110-alpha subunit"
P42338,SWISS-PROT,"PI3-kinase p110-beta subunit"
P42345,SWISS-PROT,"FK506 binding protein 12"
P42356,SWISS-PROT,"PI4-kinase alpha subunit"
P42357,SWISS-PROT,"Histidase"
P42574,SWISS-PROT,"Caspase-3"
P42575,SWISS-PROT,"Caspase-2"
P42679,SWISS-PROT,"Tyrosine-protein kinase CTK"
P42680,SWISS-PROT,"Tyrosine-protein kinase TEC"
P42681,SWISS-PROT,"Tyrosine-protein kinase TXK"
P42684,SWISS-PROT,"Tyrosine-protein kinase ABL2"
P42685,SWISS-PROT,"Tyrosine-protein kinase FRK"
P42785,SWISS-PROT,"Lysosomal Pro-X carboxypeptidase"
P42858,SWISS-PROT,"Huntingtin"
P42892,SWISS-PROT,"Endothelin-converting enzyme 1"
P43003,SWISS-PROT,"Excitatory amino acid transporter 1"
P43004,SWISS-PROT,"Excitatory amino acid transporter 2"
P43005,SWISS-PROT,"Excitatory amino acid transporter 3"
P43007,SWISS-PROT,"Neutral amino acid transporter A"
P43088,SWISS-PROT,"Prostanoid FP receptor"
P43115,SWISS-PROT,"Prostanoid EP3 receptor"
P43116,SWISS-PROT,"Prostanoid EP2 receptor"
P43119,SWISS-PROT,"Prostanoid IP receptor"
P43155,SWISS-PROT,"Carnitine acetylase"
P43166,SWISS-PROT,"Carbonic anhydrase VII"
P43220,SWISS-PROT,"Glucagon-like peptide receptor"
P43234,SWISS-PROT,"Cathepsin O"
P43235,SWISS-PROT,"Cathepsin K"
P43250,SWISS-PROT,"G protein-coupled receptor kinase 6"
P43353,SWISS-PROT,"Aldehyde dehydrogenase 3B1"
P43354,SWISS-PROT,"Nuclear receptor subfamily 4 group A member 2"
P43378,SWISS-PROT,"Tyrosine-protein phosphatase non-receptor type 9"
P43403,SWISS-PROT,"Tyrosine-protein kinase ZAP-70 "
P43405,SWISS-PROT,"Tyrosine-protein kinase SYK"
P43681,SWISS-PROT,"Neuronal acetylcholine receptor protein alpha-4 subunit"
P45452,SWISS-PROT,"Matrix metalloproteinase 13"
P45880,SWISS-PROT,"Voltage-dependent anion-selective channel protein 2"
P45974,SWISS-PROT,"Ubiquitin carboxyl-terminal hydrolase 5"
P45983,SWISS-PROT,"c-Jun N-terminal kinase 1"
P45984,SWISS-PROT,"c-Jun N-terminal kinase 2"
P45985,SWISS-PROT,"Dual specificity mitogen-activated protein kinase kinase 4"
P46019,SWISS-PROT,"Phosphorylase kinase alpha L subunit"
P46020,SWISS-PROT,"Phosphorylase kinase alpha M subunit"
P46059,SWISS-PROT,"Oligopeptide transporter small intestine isoform"
P46094,SWISS-PROT,"Chemokine XC receptor 1"
P46098,SWISS-PROT,"Serotonin 3a (5-HT3a) receptor"
P46108,SWISS-PROT,"Proto-oncogene C-crk"
P46439,SWISS-PROT,"Glutathione S-transferase Mu 5"
P46663,SWISS-PROT,"Bradykinin B1 receptor"
P46734,SWISS-PROT,"Dual specificity mitogen-activated protein kinase kinase 3"
P47211,SWISS-PROT,"Galanin receptor 1"
P47712,SWISS-PROT,"Cytosolic phospholipase A2"
P47775,SWISS-PROT,"G-protein coupled receptor 12"
P47869,SWISS-PROT,"GABA receptor alpha-2 subunit"
P47870,SWISS-PROT,"GABA receptor beta-2 subunit"
P47871,SWISS-PROT,"Glucagon receptor"
P47872,SWISS-PROT,"Secretin receptor"
P47895,SWISS-PROT,"Aldehyde dehydrogenase 1A3"
P47897,SWISS-PROT,"Glutaminyl-tRNA synthetase"
P47898,SWISS-PROT,"Serotonin 5a (5-HT5a) receptor"
P47900,SWISS-PROT,"Purinergic receptor P2Y1"
P47901,SWISS-PROT,"Vasopressin V1b receptor"
P47929,SWISS-PROT,"Galectin-7"
P47989,SWISS-PROT,"Xanthine dehydrogenase"
P48023,SWISS-PROT,"Tumor necrosis factor ligand superfamily member 6"
P48039,SWISS-PROT,"Melatonin receptor 1A"
P48052,SWISS-PROT,"Carboxypeptidase A2"
P48058,SWISS-PROT,"Glutamate receptor ionotropic, AMPA 4"
P48065,SWISS-PROT,"Betaine transporter"
P48066,SWISS-PROT,"GABA transporter 3"
P48067,SWISS-PROT,"Glycine transporter 1"
P48147,SWISS-PROT,"Prolyl endopeptidase"
P48163,SWISS-PROT,"NADP-dependent malic enzyme"
P48169,SWISS-PROT,"GABA receptor alpha-4 subunit"
P48357,SWISS-PROT,"Leptin receptor"
P48443,SWISS-PROT,"Retinoid X receptor gamma"
P48448,SWISS-PROT,"Aldehyde dehydrogenase 3B2"
P48449,SWISS-PROT,"Lanosterol synthase"
P48454,SWISS-PROT,"Serine/threonine protein phosphatase 2B catalytic subunit, gamma isoform"
P48506,SWISS-PROT,"Gamma-glutamylcysteine synthetase"
P48546,SWISS-PROT,"Gastric inhibitory polypeptide receptor"
P48547,SWISS-PROT,"Voltage-gated potassium channel subunit Kv3.1"
P48551,SWISS-PROT,"Interferon-alpha/beta receptor beta chain"
P48664,SWISS-PROT,"Excitatory amino acid transporter 4"
P48729,SWISS-PROT,"Casein kinase I alpha"
P48730,SWISS-PROT,"Casein kinase I delta"
P48736,SWISS-PROT,"PI3-kinase p110-gamma subunit"
P48764,SWISS-PROT,"Sodium/hydrogen exchanger 3"
P48775,SWISS-PROT,"Tryptophan 2,3-dioxygenase"
P49005,SWISS-PROT,"DNA polymerase delta subunit 2"
P49019,SWISS-PROT,"HM74 nicotinic acid GPCR"
P49023,SWISS-PROT,"Paxillin"
P49116,SWISS-PROT,"Nuclear receptor subfamily 2 group C member 2"
P49137,SWISS-PROT,"MAP kinase-activated protein kinase 2"
P49146,SWISS-PROT,"Neuropeptide Y receptor type 2"
P49189,SWISS-PROT,"Aldehyde dehydrogenase 9A1"
P49221,SWISS-PROT,"Protein-glutamine glutamyltransferase 4"
P49238,SWISS-PROT,"C-X3-C chemokine receptor 1"
P49286,SWISS-PROT,"Melatonin receptor 1B"
P49327,SWISS-PROT,"Fatty acid synthase"
P49336,SWISS-PROT,"Cell division protein kinase 8"
P49354,SWISS-PROT,"Protein farnesyltransferase/geranylgeranyltransferase type I alpha subunit"
P49356,SWISS-PROT,"Protein farnesyltransferase beta subunit"
P49366,SWISS-PROT,"Deoxyhypusine synthase"
P49588,SWISS-PROT,"Alanyl-tRNA synthetase"
P49619,SWISS-PROT,"Diacylglycerol kinase gamma"
P49639,SWISS-PROT,"Homeobox protein Hox-A1"
P49641,SWISS-PROT,"Alpha-mannosidase 2A2"
P49662,SWISS-PROT,"Caspase-4"
P49674,SWISS-PROT,"Casein kinase I epsilon"
P49682,SWISS-PROT,"C-X-C chemokine receptor type 3"
P49721,SWISS-PROT,"Proteasome Macropain subunit"
P49759,SWISS-PROT,"Dual specificty protein kinase CLK1"
P49760,SWISS-PROT,"Dual specificity protein kinase CLK2"
P49761,SWISS-PROT,"Dual specificity protein kinase CLK3"
P49768,SWISS-PROT,"Presenilin 1"
P49773,SWISS-PROT,"Histidine triad nucleotide-binding protein 1"
P49810,SWISS-PROT,"Presenilin 2"
P49840,SWISS-PROT,"Glycogen synthase kinase-3 alpha"
P49841,SWISS-PROT,"Glycogen synthase kinase-3 beta"
P49862,SWISS-PROT,"Kallikrein 7"
P49863,SWISS-PROT,"Granzyme K"
P49888,SWISS-PROT,"Estrogen sulfotransferase"
P49895,SWISS-PROT,"Type I iodothyronine deiodinase (Type-I 5&apos;deiodinase) (DIOI) (Type 1 DI) (5DI) "
P49915,SWISS-PROT,"GMP synthase [glutamine-hydrolyzing]"
P49961,SWISS-PROT,"Ectonucleoside triphosphate diphosphohydrolase 1"
P50052,SWISS-PROT,"Angiotensin II type 2 (AT-2) receptor"
P50120,SWISS-PROT,"Cellular retinol-binding protein II"
P50135,SWISS-PROT,"Histamine N-methyltransferase"
P50281,SWISS-PROT,"Matrix metalloproteinase 14"
P50391,SWISS-PROT,"Neuropeptide Y receptor type 4"
P50406,SWISS-PROT,"Serotonin 6 (5-HT6) receptor"
P50454,SWISS-PROT,"Collagen-binding protein 1"
P50570,SWISS-PROT,"Dynamin-2"
P50579,SWISS-PROT,"Methionine aminopeptidase 2"
P50591,SWISS-PROT,"Tumor necrosis factor ligand superfamily member 10"
P50613,SWISS-PROT,"Cyclin-dependent kinase 7"
P50750,SWISS-PROT,"Cyclin-dependent kinase 9"
P50993,SWISS-PROT,"Sodium/potassium-transporting ATPase alpha-2 chain"
P51160,SWISS-PROT,"Phosphodiesterase 6C"
P51164,SWISS-PROT,"Potassium-transporting ATPase beta chain"
P51178,SWISS-PROT,"Phospholipase C-delta-1"
P51451,SWISS-PROT,"Tyrosine-protein kinase BLK"
P51452,SWISS-PROT,"Dual specificity protein phosphatase 3"
P51511,SWISS-PROT,"Matrix metalloproteinase 15"
P51512,SWISS-PROT,"Matrix metalloproteinase 16"
P51575,SWISS-PROT,"P2X purinoceptor 1"
P51580,SWISS-PROT,"Thiopurine S-methyltransferase"
P51582,SWISS-PROT,"Pyrimidinergic receptor P2Y4"
P51589,SWISS-PROT,"Cytochrome P450 2J2"
P51617,SWISS-PROT,"Interleukin-1 receptor-associated kinase 1 "
P51649,SWISS-PROT,"Succinate semialdehyde dehydrogenase"
P51659,SWISS-PROT,"Peroxisomal multifunctional enzyme type 2"
P51677,SWISS-PROT,"C-C chemokine receptor type 3"
P51679,SWISS-PROT,"C-C chemokine receptor type 4"
P51681,SWISS-PROT,"C-C chemokine receptor type 5"
P51684,SWISS-PROT,"C-C chemokine receptor type 6"
P51685,SWISS-PROT,"C-C chemokine receptor type 8"
P51686,SWISS-PROT,"C-C chemokine receptor type 9"
P51692,SWISS-PROT,"Signal transducer and activator of transcription 5B"
P51787,SWISS-PROT,"Voltage-gated potassium channel subunit Kv7.1"
P51812,SWISS-PROT,"Ribosomal protein S6 kinase alpha 3"
P51813,SWISS-PROT,"Tyrosine-protein kinase BMX"
P51817,SWISS-PROT,"Serine/threonine-protein kinase PRKX"
P51828,SWISS-PROT,"Adenylate cyclase type VII"
P51878,SWISS-PROT,"Caspase-5"
P51946,SWISS-PROT,"Cyclin H"
P51948,SWISS-PROT,"CDK-activating kinase assembly factor MAT1"
P51955,SWISS-PROT,"Serine/threonine-protein kinase NEK2"
P51956,SWISS-PROT,"Serine/threonine-protein kinase Nek3"
P51957,SWISS-PROT,"Serine/threonine-protein kinase Nek4"
P51970,SWISS-PROT,"NADH-ubiquinone oxidoreductase 19 kDa subunit"
P51993,SWISS-PROT,"Fucosyltransferase 6"
P52209,SWISS-PROT,"6-phosphogluconate dehydrogenase"
P52333,SWISS-PROT,"Tyrosine-protein kinase JAK3"
P52429,SWISS-PROT,"Diacylglycerol kinase epsilon"
P52564,SWISS-PROT,"Dual specificity mitogen-activated protein kinase kinase 6"
P52655,SWISS-PROT,"Transcription initiation factor IIA alpha and bTranscription initiation factor IIA alpha and beta chains"
P52657,SWISS-PROT,"Transcription initiation factor IIA gamma chain"
P52732,SWISS-PROT,"Kinesin-like protein 1"
P52757,SWISS-PROT,"Rho-GTPase-activating protein 3"
P52788,SWISS-PROT,"Spermine synthase"
P52789,SWISS-PROT,"Hexokinase type II "
P52790,SWISS-PROT,"Hexokinase type III"
P52895,SWISS-PROT,"Aldo-keto reductase family 1 member C2"
P52961,SWISS-PROT,"ADP-ribosyltransferase"
P53350,SWISS-PROT,"Serine/threonine-protein kinase PLK1"
P53355,SWISS-PROT,"Death-associated protein kinase 1"
P53396,SWISS-PROT,"ATP-citrate synthase"
P53582,SWISS-PROT,"Methionine aminopeptidase 1"
P53602,SWISS-PROT,"Mevalonate pyrophosphate decarboxylase"
P53609,SWISS-PROT,"Geranylgeranyl transferase type I beta subunit"
P53611,SWISS-PROT,"Geranylgeranyl transferase type II beta subunit"
P53634,SWISS-PROT,"Dipeptidyl peptidase I"
P53667,SWISS-PROT,"LIM domain kinase 1"
P53671,SWISS-PROT,"LIM domain kinase 2"
P53778,SWISS-PROT,"MAP kinase p38 gamma"
P53779,SWISS-PROT,"c-Jun N-terminal kinase 3"
P53985,SWISS-PROT,"Monocarboxylate transporter 1"
P54098,SWISS-PROT,"DNA polymerase gamma subunit 1"
P54136,SWISS-PROT,"Arginyl-tRNA synthetase"
P54219,SWISS-PROT,"Vesicular amine transporter 1"
P54289,SWISS-PROT,"Voltage-gated calcium channel alpha2/delta subunit 1"
P54577,SWISS-PROT,"Tyrosyl-tRNA synthetase"
P54619,SWISS-PROT,"AMP-activated protein kinase, gamma-1 subunit"
P54646,SWISS-PROT,"AMP-activated protein kinase, alpha-2 subunit"
P54687,SWISS-PROT,"Branched-chain-amino-acid transferase"
P54707,SWISS-PROT,"Potassium-transporting ATPase alpha chain 2"
P54709,SWISS-PROT,"Sodium/potassium-transporting ATPase beta-3 chain"
P54710,SWISS-PROT,"Sodium/potassium-transporting ATPase gamma chain"
P54750,SWISS-PROT,"Phosphodiesterase 1A"
P54753,SWISS-PROT,"Ephrin type-B receptor 3"
P54756,SWISS-PROT,"Ephrin type-A receptor 5"
P54760,SWISS-PROT,"Ephrin type-B receptor 4"
P54762,SWISS-PROT,"Ephrin type-B receptor 1"
P54764,SWISS-PROT,"Ephrin type-A receptor 4"
P54819,SWISS-PROT,"Adenylate kinase 2"
P54855,SWISS-PROT,"UDP-glucuronosyltransferase 2B15"
P55017,SWISS-PROT,"Thiazide-sensitive sodium-chloride cotransporter"
P55055,SWISS-PROT,"LXR-beta"
P55058,SWISS-PROT,"Phospholipid transfer protein"
P55072,SWISS-PROT,"Transitional endoplasmic reticulum ATPase"
P55073,SWISS-PROT,"Type III iodothyronine deiodinase"
P55085,SWISS-PROT,"Proteinase-activated receptor 2"
P55087,SWISS-PROT,"Aquaporin-4"
P55157,SWISS-PROT,"Microsomal triglyceride transfer protein large subunit"
P55210,SWISS-PROT,"Caspase-7"
P55211,SWISS-PROT,"Caspase-9"
P55212,SWISS-PROT,"Caspase-6"
P55263,SWISS-PROT,"Adenosine kinase"
P55786,SWISS-PROT,"Puromycin-sensitive aminopeptidase"
P55899,SWISS-PROT,"IgG receptor FcRn large subunit p51"
P56192,SWISS-PROT,"Methionyl-tRNA synthetase "
P56199,SWISS-PROT,"Integrin alpha-1"
P56373,SWISS-PROT,"P2X purinoceptor 3"
P56524,SWISS-PROT,"Histone deacetylase 4"
P56556,SWISS-PROT,"NADH-ubiquinone oxidoreductase B14 subunit"
P56597,SWISS-PROT,"Nucleoside diphosphate kinase 5"
P56696,SWISS-PROT,"Voltage-gated potassium channel subunit Kv7.4"
P56703,SWISS-PROT,"Proto-oncogene protein Wnt-3"
P56817,SWISS-PROT,"Beta-secretase 1"
P56937,SWISS-PROT,"3-keto-steroid reductase"
P56945,SWISS-PROT,"Anti-estrogen resistance 1 protein"
P57059,SWISS-PROT,"Serine/threonine-protein kinase SIK1"
P57078,SWISS-PROT,"Receptor-interacting serine/threonine-protein kinase 4"
P60033,SWISS-PROT,"CD81 antigen"
P60174,SWISS-PROT,"Triosephosphate isomerase"
P60568,SWISS-PROT,"Interleukin-2"
P60763,SWISS-PROT,"Ras-related C3 botulinum toxin substrate 3"
P60891,SWISS-PROT,"Ribose-phosphate pyrophosphokinase I"
P60953,SWISS-PROT,"Cell division control protein 42 homolog"
P61073,SWISS-PROT,"C-X-C chemokine receptor type 4"
P61088,SWISS-PROT,"Ubiquitin-conjugating enzyme E2 N"
P61160,SWISS-PROT,"Actin-related protein 2"
P61586,SWISS-PROT,"Transforming protein RhoA"
P61964,SWISS-PROT,"WD repeat-containing protein 5"
P61978,SWISS-PROT,"Heterogeneous nuclear ribonucleoprotein K"
P62136,SWISS-PROT,"Serine/threonine protein phosphatase PP1-alpha catalytic subunit"
P62140,SWISS-PROT,"Serine/threonine-protein phosphatase PP1-beta catalytic subunit"
P62158,SWISS-PROT,"Calmodulin"
P62330,SWISS-PROT,"ADP-ribosylation factor 6"
P62508,SWISS-PROT,"Estrogen-related receptor gamma"
P62714,SWISS-PROT,"Serine/threonine protein phosphatase 2A, catalytic subunit, beta isoform"
P62805,SWISS-PROT,"Histone H4"
P62937,SWISS-PROT,"Cyclophilin A"
P62942,SWISS-PROT,"FK506-binding protein 1A"
P62993,SWISS-PROT,"Growth factor receptor-bound protein 2"
P63000,SWISS-PROT,"Ras-related C3 botulinum toxin substrate 1"
P63092,SWISS-PROT,"Guanine nucleotide-binding protein G(s), subunit alpha"
P63096,SWISS-PROT,"Guanine nucleotide-binding protein G(i), alpha-1 subunit"
P63098,SWISS-PROT,"Calcineurin B alpha"
P63151,SWISS-PROT,"Serine/threonine protein phosphatase 2A, 55 kDa regulatory subunit B, alpha isoform"
P63316,SWISS-PROT,"Troponin C"
P67775,SWISS-PROT,"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform"
